,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
15,Kobe Bryant was on top of the world in 2003 as he led the Los Angeles Lakers to win after win. But that all came crashing down after the star was charged with sexual assault.,140,35,7,10,3,17.5,4.0,0,0.0,0.0,11.428571428571429,5.714285714285714,28,0,0
16,"Kobe Bryant is one of the greatest basketball players of all time, but his impact extended far beyond the court.",93,20,2,7,2,20.0,4.65,0,0.0,0.0,5.0,0.0,16,0,0
17,"President Donald Trump's former national security adviser has upended the Senate impeachment trial, and new revelations from John Bolton's draft book manuscript could turn the tide on whether senators call for witnesses.",189,32,5,17,2,32.0,5.90625,0,0.0,0.0,0.0,0.0,30,0,0
18,"Following Trump defense team member Ken Starr's argument before the Senate, CNN's Jeffrey Toobin called Starr's argument against impeachment ""mind boggling,"" considering his role as independent counsel in the impeachment proceedings against former President C…",226,35,3,20,1,35.0,6.457142857142857,0,0.0,0.0,0.0,0.0,25,0,0
19,"Hunter Biden has agreed to pay monthly child support to an Arkansas woman, court documents filed Monday show, in a temporary settlement reached just days before he was scheduled for a mandatory court appearance to explain why he hadn't provided financial docu…",219,42,10,15,1,42.0,5.214285714285714,0,0.0,0.0,2.380952380952381,0.0,33,0,0
20,President Trump's impeachment attorney Robert Ray delivers opening remarks on the Senate floor.,83,13,1,9,2,13.0,6.384615384615385,0,0.0,0.0,0.0,0.0,13,0,0
21,Democratic presidential candidate Joe Biden and his campaign fired back at President Donald Trump's legal team's attacks on Hunter Biden.,118,20,1,11,2,20.0,5.9,0,0.0,0.0,0.0,5.0,20,0,0
22,Kobe Bryant was on top of the world in 2003 as he led the Los Angeles Lakers to win after win. But that all came crashing down after the star was charged with sexual assault.,140,35,7,10,3,17.5,4.0,0,0.0,0.0,11.428571428571429,5.714285714285714,28,0,0
23,"Kobe Bryant is one of the greatest basketball players of all time, but his impact extended far beyond the court.",93,20,2,7,2,20.0,4.65,0,0.0,0.0,5.0,0.0,16,0,0
24,"On the minds of many at Super Bowl LIV's Opening Night was the shocking loss of NBA legend Kobe Bryant, his 13-year-old daughter Gianna, and the seven others who died in a helicopter crash.",156,34,3,15,2,34.0,4.588235294117647,0,0.0,0.0,0.0,11.76470588235294,29,0,0
25,An explosive New York Times report detailing an unpublished draft manuscript by former national security adviser John Bolton has added new uncertainty to this week's crucial vote to determine whether the Senate should subpoena witnesses and documents in Presi…,222,39,6,17,1,39.0,5.6923076923076925,0,0.0,0.0,0.0,5.128205128205128,37,0,0
26,CNN's John Avlon looks at President Trump's defense team strategy in his impeachment trial.,78,14,1,9,2,14.0,5.571428571428571,0,0.0,0.0,0.0,0.0,14,0,0
27,"In an interview with NPR, pop star Selena Gomez accused her ex, fellow pop star Justin Bieber, of being emotionally abusive. HLN and NPR have both reached out to Bieber's team and have not heard back.",165,36,6,15,3,18.0,4.583333333333333,0,0.0,0.0,0.0,2.7777777777777777,28,0,0
28,"The British government said Tuesday that it will allow China's Huawei to help build the country's next generation of super-fast wireless networks, a decision that could undermine trade and intelligence ties with the United States.",196,35,7,14,2,35.0,5.6,0,0.0,0.0,2.857142857142857,2.857142857142857,31,0,0
29,"Campaigning in Iowa is different than any other state in the country. Watch as candidates eat everything at the state fair, attend packed house parties and shave people's heads in our latest episode of ""On the Road.""",180,37,6,13,3,12.666666666666666,4.864864864864865,0,0.0,0.0,2.7027027027027026,0.0,29,0,0
30,"Authorities believe Fotis Dulos, the Connecticut man accused of killing his estranged wife Jennifer Farber Dulos, made an apparent suicide attempt Tuesday, according to two law enforcement sources.",170,28,5,15,2,28.0,6.071428571428571,0,0.0,0.0,0.0,10.714285714285714,26,0,0
31,"Just two days after losing their beloved coach in a helicopter crash, Orange Coast College's baseball team will play its season opener as scheduled Tuesday and will honor him with an on-field ceremony beforehand.",179,34,6,14,2,34.0,5.264705882352941,0,0.0,0.0,5.88235294117647,5.88235294117647,32,0,0
32,An Indiana artist creates incredible works of art using Etch-A-Sketch toys.  CNN affiliate WDRB reports.,89,15,2,10,3,7.5,5.933333333333334,0,0.0,0.0,13.333333333333334,0.0,16,0,0
33,"If you ever find yourself driving a 27-foot-long hotdog on wheels, you should probably pay extra attention to traffic laws, because you won't be blending in with the rest of the cars on the road.",161,35,7,8,2,35.0,4.6,0,0.0,0.0,0.0,0.0,27,0,0
34,A tsunami threat message has been issued by the US National Weather Service's Pacific Tsunami Warning Center after a magnitude 7.7 earthquake struck Tuesday near Jamaica.,145,26,4,15,3,13.5,5.576923076923077,0,25.0,0.0,0.0,7.6923076923076925,26,0,0
35,"Pete Buttigieg's presidential campaign acknowledged on Tuesday that it has, over the course of several months, responded to concerns from minority staffers about key decisions made in the campaign and its overall culture of inclusion.",200,35,4,13,2,35.0,5.714285714285714,0,0.0,0.0,0.0,2.857142857142857,29,0,0
36,President Trump's lawyers will continue giving their opening arguments at the impeachment trial. Follow here for the latest.,107,18,3,7,3,9.0,5.944444444444445,0,0.0,0.0,0.0,0.0,16,0,0
37,"Kim Kyong Hui, the aunt of North Korean leader Kim Jong Un, was seen for the first time in public since her husband was executed in 2013.",111,27,4,10,2,27.0,4.111111111111111,0,0.0,0.0,0.0,0.0,19,0,0
38,"Attorney Jay Sekulow, a member of President Trump's defense team, criticized a video of House Speaker Nancy Pelosi passing out pens to impeachment managers after signing the articles of impeachment.",169,30,3,18,2,30.0,5.633333333333334,0,0.0,0.0,0.0,3.3333333333333335,25,0,0
39,"John Bolton used to be a paid contributor on Fox News before leaving to become President Donald Trump's national security adviser, but now Bolton is a target for criticism from some of the network's personalities. CNN's Brian Stelter reports.",204,39,5,19,3,19.5,5.230769230769231,0,0.0,0.0,0.0,2.564102564102564,33,0,0
40,Kobe Bryant was on top of the world in 2003 as he led the Los Angeles Lakers to win after win. But that all came crashing down after the star was charged with sexual assault.,140,35,7,10,3,17.5,4.0,0,0.0,0.0,11.428571428571429,5.714285714285714,28,0,0
41,"President Trump denied claims he told Bolton aid to Ukraine was tied to an investigation of the Bidens in a tweet, which CNN legal analyst Carrie Cordero says could affect President Trump's executive privilege defense.",184,35,7,18,2,35.0,5.257142857142857,0,0.0,0.0,2.857142857142857,2.857142857142857,31,0,0
42,CNN's Jake Tapper fact-checks some of the false claims by President Trump's defense team during the Senate impeachment trial.,107,19,1,11,2,19.0,5.631578947368421,0,0.0,0.0,0.0,5.263157894736842,17,0,0
43,CNN political analyst Gloria Borger breaks down Trump defense attorney Jane Raskin's analysis of Rudy Giuliani's role in the Trump Ukraine impeachment inquiry.,137,23,1,17,2,23.0,5.956521739130435,0,0.0,0.0,0.0,4.3478260869565215,21,0,0
44,"The world's longest and largest twin-engine airliner, the Boeing 777-9X, has completed its first test flight from Boeing's wide-body factory near Seattle.",133,22,2,10,2,22.0,6.045454545454546,0,0.0,0.0,0.0,0.0,22,0,0
45,"An extreme home paint job has some neighbors in a Naples, Florida, so concerned they are filing a lawsuit against the person they believe is responsible.",128,26,5,8,2,26.0,4.923076923076923,0,0.0,0.0,0.0,3.8461538461538463,22,0,1
46,CNN's John Avlon discusses how some GOP lawmakers argued for the removal of former President Bill Clinton when he was impeached in 1998.,114,23,4,9,2,23.0,4.956521739130435,0,0.0,0.0,0.0,0.0,23,0,0
47,Basketball star Kobe Bryant and his daughter Gianna were headed to a basketball game Sunday afternoon when they were killed in a helicopter crash.,123,24,4,12,2,24.0,5.125,0,0.0,0.0,0.0,8.333333333333332,20,0,0
48,It appears the party is just getting started for 18-year-old Billie Eilish.,64,12,4,3,2,12.0,5.333333333333333,0,0.0,0.0,0.0,0.0,12,0,0
49,"Christina Mauser, an assistant girls basketball coach at a K-8 Orange County private school, was one of the nine people killed Sunday morning when a helicopter crashed into a hillside in Calabasas, California.",177,33,3,16,2,33.0,5.363636363636363,0,0.0,0.0,0.0,6.0606060606060606,30,0,0
50,Hear a young Kobe Bryant give his first interview as a professional basketball player for the Los Angeles Lakers. Bryant entered the NBA straight after high school making him the youngest player in NBA history at the time.,185,38,4,16,3,19.0,4.868421052631579,0,0.0,0.0,0.0,0.0,26,0,0
51,NASA is planning to bring Martian samples back to Earth -- and they're looking for someone to lead the mission.,92,20,6,5,2,20.0,4.6,0,0.0,0.0,5.0,0.0,17,0,0
52,President Donald Trump's defense team member Ken Starr used the opposite argument defending the President's use of executive privilege than he did in the impeachment case against President Bill Clinton in 1998.,179,32,3,17,2,32.0,5.59375,0,0.0,0.0,3.125,0.0,25,0,0
53,A rescue helicopter saved a hiker who was hanging on to hillside tree roots after she fell from a nearby trail.,91,21,5,5,2,21.0,4.333333333333333,0,0.0,0.0,0.0,4.761904761904762,19,0,0
54,Democratic presidential candidate Joe Biden says Sen. Joni Ernst's (R-IA) comments about the impeachment testimony impacting Biden's chances in the state prove the real motivation behind Trump's attack on the former vice president and his son.,208,36,3,19,3,18.0,5.777777777777778,0,0.0,0.0,0.0,5.555555555555555,32,0,0
55,"""The Bachelor"" contestant Victoria Fuller revealed to Peter Weber that country singer Chase Rice was her former boyfriend, after they attended one of Rice's performances during an episode.",161,28,3,14,2,28.0,5.75,0,0.0,0.0,0.0,0.0,28,0,0
56,Sen. Joni Ernst's recent comments about the impact of the impeachment inquiry on Democratic presidential candidate Joe Biden are reminiscent of Rep. Kevin McCarthy's comments on the impact of the Hillary Clinton Benghazi investigation.,202,34,1,20,4,11.333333333333334,5.9411764705882355,0,0.0,0.0,0.0,0.0,21,0,0
57,Officers made the discovery at the International Falls Port of Entry in Minnesota,69,13,1,7,1,13.0,5.3076923076923075,0,0.0,0.0,0.0,0.0,11,0,0
58,"At least four of the eight people killed in Monday morning's boat dock fire in northeastern Alabama were children ranging in age from 7 to 16, a coroner said Tuesday.",137,30,4,11,2,30.0,4.566666666666666,0,0.0,0.0,0.0,3.3333333333333335,27,0,0
59,It's looking like the Rolling Loud Festival will be the music event of the spring.,68,15,4,6,2,15.0,4.533333333333333,0,0.0,0.0,6.666666666666667,0.0,12,0,0
60,A 9-year-old boy in Louisiana can deadlift 230 pounds and is breaking records for his weight class.,83,17,4,5,2,17.0,4.882352941176471,0,0.0,0.0,0.0,5.88235294117647,17,0,0
61,"A DNA test led the former king of Belgium, Albert II, to concede that he is the father of Delphine Boel, who filed a paternity suit against him in 2013.",123,30,4,11,2,30.0,4.1,0,0.0,0.0,3.3333333333333335,3.3333333333333335,26,0,0
62,Sen. Dick Durbin (D-IL) reacts to a proposal from Republicans to allow former national security adviser John Bolton to testify in President Donald Trump's impeachment trial in exchange for testimony from Hunter Biden.,185,33,3,18,3,16.5,5.606060606060606,0,0.0,0.0,0.0,0.0,26,0,0
63,Almost all the major players on Capitol Hill have lamented that these are dangerous times in Washington. But if you want to know why -- it depends who you ask.,130,30,7,5,3,15.0,4.333333333333333,0,0.0,0.0,0.0,3.3333333333333335,28,0,0
64,"President Donald Trump's attorney Alan Dershowitz on Tuesday shot back at Sen. Elizabeth Warren after the Massachusetts Democrat assailed his presentation in Trump's Senate impeachment trial as hard to follow and tweeted that his argument is ""contrary to both…",222,39,6,18,2,19.5,5.6923076923076925,0,0.0,0.0,0.0,2.564102564102564,33,0,0
65,Hundreds of people were evacuated from high-rise buildings near downtown Miami after a powerful earthquake in the Caribbean Sea on Tuesday.,119,21,2,9,2,21.0,5.666666666666667,0,0.0,0.0,4.761904761904762,0.0,21,0,0
66,"With less than a week to go until Super Bowl LIV, the NFL is dealing with a breach that saw the Twitter accounts for nearly half of the league's teams get hacked.",131,32,6,11,2,32.0,4.09375,0,0.0,0.0,0.0,3.125,27,0,0
67,An Iranian passenger plane overshot the runway and barrelled into a city highway without causing casualties.,93,16,2,6,2,16.0,5.8125,0,0.0,0.0,0.0,0.0,16,0,0
68,"A top European official has warned that reaching a ""good agreement"" on the future relationship between the United Kingdom and the European Union will take time.",135,26,5,9,2,26.0,5.1923076923076925,0,0.0,0.0,7.6923076923076925,3.8461538461538463,21,0,0
69,"State Department drops NPR from Pompeo trip after Ukraine dust-up CNN Meghan McCain defends Mike Pompeo after he berates woman reporter: ""It's a he said-she said"" Salon Pompeo boils over as Ukraine pressure increases CNN Mike Pompeo berates a reporter — then …",218,43,8,23,1,43.0,5.069767441860465,0,0.0,0.0,0.0,0.0,25,0,0
70,Joni Ernst just said the quiet part out loud about the Senate impeachment trial CNN Trump legal team dismisses Bolton book storm CNN Dershowitz calls out House Dems in Trump's Senate impeachment trial after Bolton shock waves Fox News Adam Goodman: Six GOP Se…,217,44,3,31,1,44.0,4.931818181818182,0,0.0,0.0,2.272727272727273,4.545454545454546,30,0,0
71,Local and federal authorities are investigating the Southern California helicopter crash that claimed the lives of nine people -- including 41-year-old NBA legend Kobe Bryant.,151,25,4,11,2,25.0,6.04,0,0.0,0.0,0.0,4.0,23,0,0
72,"Mimi Haleyi, a former production assistant who has said Harvey Weinstein forcibly performed oral sex on her in 2006 at his Manhattan apartment, will testify at his criminal trial on Monday, her attorney Gloria Allred told CNN.",190,37,6,15,2,37.0,5.135135135135135,0,0.0,0.0,0.0,2.7027027027027026,29,0,0
73,"The Canary Islands, a Spanish archipelago in the Atlantic off the coast of Africa, is a prime location for adventure travel. Check out all you can enjoy -- from paragliding to hiking in amazing forests.",168,35,6,10,3,17.5,4.8,0,0.0,0.0,5.714285714285714,0.0,29,0,0
74,Saudi Arabia's Minister of Foreign Affairs Faisal bin Farhan al-Saud discusses the killing of journalist Jamal Khashoggi with CNN's International Diplomatic Editor Nic Robertson.,155,24,2,17,2,24.0,6.458333333333333,0,0.0,0.0,0.0,4.166666666666666,22,0,0
75,CNN's Nina dos Santos sits down with European Parliament president David Sassoli for his first international TV interview to take the mood of the EU Parliament as it prepares for Brexit on January 31.,167,34,3,15,2,34.0,4.911764705882353,0,0.0,0.0,0.0,0.0,28,0,0
76,The National Academy of Recording Arts and Sciences paid tribute to late NBA legend Kobe Bryant at the 2020 Grammy Awards.,102,21,3,11,2,21.0,4.857142857142857,0,0.0,0.0,0.0,0.0,21,0,0
77,"Until recently, the travel industry hadn't done much about its reliance on single-use plastics. But that's changing, with an increasing number of customers demanding (and getting) more sustainable amenities such as larger, refillable toiletry dispensers.",220,35,7,10,3,17.5,6.285714285714286,0,0.0,0.0,2.857142857142857,0.0,35,0,0
78,I've been overwhelmed with messages from family and friends about Kobe Bryant's death.,74,13,3,6,2,13.0,5.6923076923076925,0,33.33333333333333,0.0,0.0,15.384615384615385,13,0,0
79,CNN's Nina dos Santos sits down with European Parliament president David Sassoli for his first international TV interview to take the mood of the EU Parliament as it prepares for Brexit on January 31.,167,34,3,15,2,34.0,4.911764705882353,0,0.0,0.0,0.0,0.0,28,0,0
80,I've been overwhelmed with messages from family and friends about Kobe Bryant's death.,74,13,3,6,2,13.0,5.6923076923076925,0,33.33333333333333,0.0,0.0,15.384615384615385,13,0,0
81,The beautiful Himalayan country that charges tourists by the day is seen as a model for sustainable for tourism.,94,19,3,6,2,19.0,4.947368421052632,0,0.0,0.0,10.526315789473683,0.0,17,0,0
82,"CNN's Oren Liebermann says Israeli Prime Minister Benjamin Netanyahu could have a larger plan in place relating to the unveiling of President Donald Trump's Middle East plan, Netanyahu's indictment on corruption charges and a recently-announced trip to Moscow.",223,38,3,24,2,38.0,5.868421052631579,0,0.0,0.0,0.0,2.631578947368421,34,0,0
83,"A Harvard University professor and two other Chinese nationals were federally indicted in three separate cases for allegedly lying to the US about their involvement with China's government, the US attorney for the district of Massachusetts announced Tuesday.",221,38,4,14,2,38.0,5.815789473684211,0,0.0,0.0,0.0,2.631578947368421,31,0,0
84,"Countless inspiring women have made historic contributions to science. Here are the stories of Alice Ball, Grace Hopper, Tu Youyou and others you should know.",134,25,7,11,3,12.5,5.36,0,0.0,0.0,4.0,0.0,25,0,0
85,"The US military is investigating reports of a plane crash in Afghanistan's Ghazni province, a US official told CNN on Monday.",105,21,3,11,2,21.0,5.0,0,0.0,0.0,0.0,4.761904761904762,17,0,0
86,"A passenger plane with 135 people on board has skidded off the runway in the Iranian city of Mahshahr and onto a road with its wheels still retracted -- and, miraculously, no one was hurt.",154,35,5,10,2,35.0,4.4,0,0.0,0.0,2.857142857142857,2.857142857142857,31,0,0
87,The 62nd annual Grammy Awards show was full of tributes and triumph. See the highlights.,74,15,2,6,3,7.5,4.933333333333334,0,0.0,0.0,6.666666666666667,0.0,15,0,0
88,A woman has choked to death on a lamington -- Australia's national cake -- during an eating competition to celebrate the country's national day.,121,24,4,8,2,24.0,5.041666666666667,0,0.0,0.0,4.166666666666666,4.166666666666666,18,0,0
89,"Once again, President Donald Trump's Fifth Avenue test for fellow Republicans has grown a little harder.",89,16,2,9,2,16.0,5.5625,0,0.0,0.0,0.0,0.0,16,0,0
90,"The phone lines at Kamome, a Tokyo-based travel agency that specializes in tours for Chinese tourists, haven't stopped buzzing. On Sunday, China announced a ban on outbound group travel as part of its battle to stop the spread of the Wuhan coronavirus.",211,42,6,18,3,21.0,5.023809523809524,0,0.0,0.0,0.0,2.380952380952381,34,0,0
91,"Tributes have poured in from around to world to commemorate the life of NBA legend Kobe Bryant. Bryant and eight others died on January 26 when his helicopter crashed in Calabasas, California.",161,32,6,12,3,16.0,5.03125,0,0.0,0.0,0.0,6.25,28,0,0
92,CNN's International Diplomatic Editor Nic Robertson sits down with Saudi Arabia's Minister of Foreign Affairs Faisal bin Farhan al-Saud.,118,19,2,14,2,19.0,6.2105263157894735,0,0.0,0.0,0.0,0.0,19,0,0
93,"Two bodies have been recovered from the US military aircraft that crashed in Afghanistan's Ghazni province Monday, a defense official told CNN, adding that sensitive equipment was also disabled by military personnel that arrived at the site.",205,37,9,13,2,37.0,5.54054054054054,0,11.11111111111111,0.0,2.7027027027027026,5.405405405405405,30,0,1
94,Uber Eats has lost the exclusive rights to make about 15 million McDonald's deliveries each year in the United Kingdom.,100,20,3,8,2,20.0,5.0,0,0.0,0.0,0.0,5.0,18,0,0
95,"Shaquille O'Neal spoke out publicly for the first time since the passing of Kobe Bryant during the ""The Big Podcast with Shaq.""",106,22,1,9,2,11.5,4.818181818181818,0,0.0,0.0,0.0,0.0,19,0,0
96,"Facebook, Ford and other high-profile companies have told their employees not to travel to China as the deadly coronavirus continues to spread.",122,22,5,6,2,22.0,5.545454545454546,0,0.0,0.0,0.0,4.545454545454546,19,0,0
97,"The Australian Open at Melbourne Park is the first tennis grand slam of the season and runs from January 20 to February 2. Serena Williams is attempting to win her 24th grand slam title, while in the men's singles Roger Federer, Rafa Nadal and Novak Dojokovic…",215,46,5,20,2,23.0,4.673913043478261,0,0.0,0.0,6.521739130434782,0.0,33,0,0
