,statement,label
106,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",Not Fake
107,The (federal) debt is growing by more than $4 billion a day.,Not Fake
108,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",Not Fake
109,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",Fake
110,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,Not Fake
111,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",Not Fake
112,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",Not Fake
113,Says Obama promised unemployment would never go above 8 percent.,Fake
114,The economy is creating jobs at the fastest pace since 1999.,Not Fake
115,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,Not Fake
116,"In a majority of states, you can now marry freely, but can still be fired for who you love.",Not Fake
117,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,Fake
118,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",Fake
119,"About half of the presidents have been governors; half of them, senators.",Fake
120,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",Not Fake
121,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",Not Fake
122,Says 88 Texas constables have died in the line of duty.,Not Fake
123,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",Not Fake
124,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",Not Fake
125,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",Not Fake
126,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,Not Fake
127,The Air Force wants taxpayers to fund a fantasy football league.,Fake
128,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,Fake
129,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,Not Fake
130,Some neighborhood schools are closing.,Not Fake
131,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,Not Fake
132,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",Not Fake
133,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",Fake
134,Says the U.S. Supreme Court found that Social Security is not guaranteed.,Not Fake
135,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,Fake
136,Oregonians have an amazing no-cost way to fight abortion with free political donations,Not Fake
137,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",Fake
138,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",Fake
139,Newt Gingrichs immigration plan offers a new doorway to amnesty.,Not Fake
140,Mr. Caprio is a career politician who has never worked in the private sector.,Fake
141,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",Fake
142,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",Not Fake
143,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,Not Fake
144,Donald Trump has said nuclear proliferation is OK.,Not Fake
145,"Hillary Clinton has taken over $800,000 from lobbyists.",Not Fake
146,Barack Obama has never even worked in business.,Fake
147,Says the Arizona immigration law expressly bans racial profiling.,Not Fake
148,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,Fake
149,"On the VA: Over 300,000 veterans have died waiting for care.",Fake
150,Were now spending 42 percent of our economy on government.,Not Fake
151,Rob Cornilles supports privatizing Medicare.,Fake
152,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",Fake
153,We (Democrats) have made steady progress creating jobs and improving our schools.,Not Fake
154,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,Fake
155,"Whether you like to admit it or not, half our general revenue goes to education.",Not Fake
156,Im the only one whos fought against developers draining the Everglades!,Fake
157,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,Not Fake
158,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",Not Fake
159,Climate change is directly related to the growth of terrorism.,Fake
160,The jobs bill includes President Obamas tax on soup kitchens,Fake
161,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,Fake
162,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,Not Fake
163,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",Not Fake
164,We have more illegal immigrants here than we did five years ago.,Fake
165,Says Rick Perry wrote a letter supporting Hillarycare.,Fake
166,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,Fake
167,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",Fake
168,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,Not Fake
169,Says Chris Christie vetoed a jobs package of 30 bills.,Not Fake
170,There are already more American jobs in the solar industry than in coal mining.,Not Fake
171,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,Not Fake
172,Barack Obama is in an economy thats only worsened since hes been president of the United States.,Not Fake
173,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",Not Fake
174,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",Not Fake
175,Says Thomas Eric Duncan came into the United States with an elevated temperature.,Fake
176,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,Not Fake
177,Gas prices have gone up $2 since Obama took office.,Not Fake
178,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,Not Fake
179,Says judges get better benefits at a lower cost than everybody else in the state.,Not Fake
180,There are a lot of casinos across the country that have gone bankrupt.,Not Fake
181,Small businesses create 70 percent of the jobs in America.,Not Fake
182,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",Not Fake
183,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",Not Fake
184,If Texas were a country our economy would rank # 10...in the WORLD.,Not Fake
185,There are more oil rigs in operation in the United States than the rest of the world combined.,Fake
186,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",Not Fake
187,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",Not Fake
188,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,Not Fake
189,The Obama administration shut down the Amber Alert program because of the government shutdown.,Fake
190,The Republicans have 2 percent of the Muslim vote.,Not Fake
191,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",Not Fake
192,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",Fake
193,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",Not Fake
194,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",Not Fake
195,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,Not Fake
196,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",Fake
197,Not one Republican has the guts to recognize that climate change is real.,Fake
198,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",Not Fake
199,David Dewhurst has a record of promoting an income tax.,Fake
200,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,Not Fake
201,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",Fake
202,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",Fake
203,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,Fake
204,Says Obama health reform law denies millions access to affordable insurance.,Fake
205,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,Fake
206,Close to 30% of our federal prison population consists of illegal immigrants.,Fake
207,Says Rick Scott called education not a core function of the state.,Fake
208,"The Family Research Council, according to some government agencies, is a terrorist group.",Fake
209,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",Not Fake
210,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,Not Fake
211,Obamacare is the biggest tax increase in American history.,Fake
212,You ... said that Barack Obama was not ready to be commander in chief.,Not Fake
213,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",Not Fake
214,Milwaukee Mayor Tom Barrett has held the line on property taxes.,Fake
215,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,Not Fake
216,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",Not Fake
217,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,Fake
218,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",Not Fake
219,On how money from a possible lease of the Ohio Turnpike would be used,Not Fake
220,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",Not Fake
221,"The president has had 1,540 of his nominations confirmed, only four defeated.",Not Fake
222,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,Not Fake
223,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",Fake
224,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,Not Fake
225,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",Not Fake
226,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",Not Fake
227,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,Fake
228,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,Not Fake
229,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",Not Fake
230,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",Not Fake
231,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",Not Fake
232,The Paul Ryan budget proposal would privatize Medicare.,Not Fake
233,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,Not Fake
234,The United States imprisons more than any nation in the world.,Not Fake
235,Says Marco Rubio is the one for an open border.,Fake
236,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",Not Fake
237,Says cuts to Medicare affect people who have already paid in. We paid for it.,Fake
238,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,Fake
239,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,Not Fake
240,Providences port is 200 miles closer to Europe than any other Eastern port.,Fake
241,Says you need a photo ID to purchase Sudafed in Texas.,Not Fake
242,Twenty percent of housing in Portlands Pearl District is affordable.,Not Fake
243,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",Not Fake
244,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,Not Fake
245,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,Not Fake
246,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",Not Fake
247,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,Fake
248,We now have driven (health care) costs down to the lowest theyve been in 50 years.,Fake
249,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",Not Fake
250,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",Not Fake
251,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",Not Fake
252,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",Not Fake
253,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,Fake
254,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,Fake
255,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,Not Fake
256,Warren (Buffett) still does support me.,Not Fake
257,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,Not Fake
258,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,Fake
259,"About 230,000 people that were on unemployment when I took office are not on unemployment now.",Not Fake
260,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",Fake
261,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,Fake
262,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,Fake
263,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",Not Fake
264,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,Fake
265,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",Fake
266,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",Fake
267,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",Not Fake
268,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",Not Fake
269,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,Not Fake
270,On legalizing illegal immigrants.,Not Fake
271,Nearly half of all pregnancies in the U.S. are unintended.,Not Fake
272,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",Not Fake
273,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",Not Fake
274,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",Not Fake
275,The top 1 percent pay over half of the entire revenue for this country.,Fake
276,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,Fake
277,Chris Christie has not increased the taxes on anyone.,Not Fake
278,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,Fake
279,Says he never said he would keep education funding the same.,Fake
280,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",Not Fake
281,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",Not Fake
282,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",Not Fake
283,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,Fake
284,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,Fake
285,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,Fake
286,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",Not Fake
287,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,Not Fake
288,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",Fake
289,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",Fake
290,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,Fake
291,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,Not Fake
292,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",Not Fake
293,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,Fake
294,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",Fake
295,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""",Fake
296,Texas this fiscal year will have more money in reserve than the other 49 states combined.,Fake
297,On using the Strategic Petroleum Reserve.,Fake
298,Immigrants are more fertile.,Not Fake
299,"The proposed education changes ""will not cut one teacher's pay.""",Not Fake
300,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,Fake
301,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,Not Fake
302,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,Fake
303,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,Fake
304,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.,Not Fake
305,"Says Scott Walker wants to ban common forms of birth control, including the pill.",Not Fake
306,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,Fake
307,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",Not Fake
308,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",Not Fake
309,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,Not Fake
310,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",Not Fake
311,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,Fake
312,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,Fake
313,There are mechanisms in place to shut down the Internet privately.,Not Fake
314,The American people support defunding Obamacare and oppose shutting down the government.,Fake
315,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,Not Fake
316,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",Not Fake
317,The people of Rhode Island dont want same-sex marriage.,Fake
318,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",Not Fake
319,This year in Congress (Connie Mack IV) has missed almost half of his votes.,Fake
320,"1/3 of our kids drop out (of high school), cannot go to college or start a career.",Fake
321,Not even old Gen. Eisenhower saluted military personnel as president.,Fake
322,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",Not Fake
