statement,label,num_-,num_?,num_!,num_%,num_;,num_:,"num_""",num_(,num_$,"num_,",num_.,count_char,count_word,count_sent,count_char_per_word,count_unique,count_uppercase,count_month,sentiment_score,count_function,count_pronoun,count_ppron,count_i,count_we,count_you,count_shehe,count_they,count_ipron,count_article,count_prep,count_auxverb,count_adverb,count_conj,count_negate,count_verb,count_adj,count_compare,count_interrog,count_number,count_quant,count_affect,count_posemo,count_negemo,count_anx,count_anger,count_sad,count_social,count_family,count_friend,count_female,count_male,count_cogproc,count_insight,count_cause,count_discrep,count_tentat,count_certain,count_differ,count_percept,count_see,count_hear,count_feel,count_bio,count_body,count_health,count_sexual,count_ingest,count_drives,count_affiliation,count_achieve,count_power,count_reward,count_risk,count_focuspast,count_focuspresent,count_focusfuture,count_relativ,count_motion,count_space,count_time,count_work,count_leisure,count_home,count_money,count_relig,count_death,count_informal,count_swear,count_netspeak,count_assent,count_nonflu,count_filler
For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin,0.75,0,0,0,0,0,0,0,0,0,1,1,94,21,1,4.476190476190476,13,2,0,0.2833333333333333,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty,0.5,0,0,0,0,0,0,0,0,0,1,1,77,16,1,4.8125,16,2,0,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it,0.0,0,0,0,0,0,0,0,0,0,2,1,100,22,1,4.545454545454546,17,4,0,-0.15000000000000002,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
The economy bled 24 billion due to the government shutdown,0.75,0,0,0,0,0,0,0,0,1,0,1,49,10,1,4.9,10,1,0,-0.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Most of the Affordable Care Act has already in some sense been waived or otherwise suspended,0.25,0,0,0,0,0,0,0,1,0,0,1,77,16,1,4.8125,16,4,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
In this last election in November  63 percent of the American people chose not to vote  80 percent of young people and 75 percent of lowincome workers chose not to vote,0.5,1,0,0,0,0,0,0,1,0,3,7,136,31,1,4.387096774193548,15,3,1,0.03333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
McCain opposed a requirement that the government buy Americanmade motorcycles And he said all buyAmerican provisions were quote disgraceful ,1.0,2,0,0,0,0,0,0,0,0,0,2,121,19,1,6.368421052631579,20,5,0,0.0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,2,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
US Rep Ron Kind DWis and his fellow Democrats went on a spending spree and now their credit card is maxed out,0.25,1,0,0,0,0,0,0,0,0,2,4,88,22,1,4.0,20,8,0,0.6,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0
Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner,0.5,0,0,0,0,0,0,0,0,0,2,1,101,22,1,4.590909090909091,20,5,0,-0.1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,0,2,2,1,0,2,2,0,0,2,2,2,2,2,0,2,2,0,1,2,0,2,3,0,0,0,2,0,0,0,2,2,1,0,2,2,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,2,3,2,2,2,0,0
Almost 100000 people left Puerto Rico last year,0.75,0,0,0,0,0,0,0,0,0,1,1,40,8,1,5.0,8,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor,0.0,0,0,0,0,0,0,0,0,0,0,1,97,20,1,4.85,18,3,0,0.04166666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The United States has the highest corporate tax rate in the free world,0.75,0,0,0,0,0,0,0,0,0,0,1,58,13,1,4.461538461538462,11,3,0,0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
We just had the best year for the auto industry in America in history,0.75,0,0,0,0,0,0,0,0,0,0,1,56,14,1,4.0,10,2,0,1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Says Scott Walker favors cutting up to 350000 families and children off health care,0.5,0,0,0,0,0,0,0,0,0,1,1,70,14,1,5.0,14,3,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Says Mitt Romney wants to get rid of Planned Parenthood,0.25,0,0,0,0,0,0,0,0,0,0,1,46,10,1,4.6,10,5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I dont know who Jonathan Gruber is,0.0,0,0,0,0,0,0,0,1,0,0,1,28,7,1,4.0,7,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino,0.75,0,0,0,0,0,0,0,0,0,0,1,79,14,1,5.642857142857143,12,6,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections,0.5,0,0,0,0,0,0,0,0,0,0,1,113,23,1,4.913043478260869,21,3,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ISIS supporter tweeted at 1034 am Shooting began at 1045 am in Chattanooga Tenn,0.0,0,0,0,0,0,2,0,0,0,1,5,66,14,1,4.714285714285714,10,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Youth unemployment in minority communities is about 40 to 45 percent,0.75,0,0,0,0,0,0,0,0,0,0,1,58,11,1,5.2727272727272725,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Says Paul Ryan is still endorsing Trump,1.0,0,0,0,0,0,0,0,0,0,0,1,33,7,1,4.714285714285714,7,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates,0.25,0,0,0,0,0,0,0,0,0,1,1,107,24,1,4.458333333333333,20,1,0,0.3985714285714286,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,0.0,0,0,0,0,0,0,0,1,0,0,1,137,32,1,4.28125,20,2,0,0.10178571428571428,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
We cut business taxes so today 70 percent of our businesses dont pay a business tax,0.75,0,0,0,0,0,0,0,0,0,0,1,68,16,1,4.25,14,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,2,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
Says Mark Pryor votes with Obama 93 percent of the time,0.75,0,0,0,0,0,0,0,0,0,0,1,45,11,1,4.090909090909091,11,4,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
We have a federal government that thinks they have the authority to regulate our toilet seats,1.0,0,0,0,0,0,0,0,0,0,0,1,78,16,1,4.875,14,1,0,-0.03333333333333333,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
Austin is a city that has basically doubled in size every 25 years or so since it was founded,1.0,0,0,0,0,0,0,0,0,0,0,1,75,19,1,3.9473684210526314,19,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,2,1,0,1,1,0,1,1,1,1,2,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,3,1,1,1,0,0
The nuclear test conducted in our nation this time is the Earths 2054th nuclear test The five permanent members of the UN Security Council have conducted 9999 percent of the total nuclear tests,1.0,0,0,0,0,0,0,0,0,0,1,5,161,33,1,4.878787878787879,19,7,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
In the case of a catastrophic event the Atlantaarea offices of the Centers for Disease Control and Prevention will selfdestruct,-0.25,2,0,0,0,0,0,0,0,0,1,1,108,20,1,5.4,15,6,0,0.0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,0,0
Under President George W Bush we added 49 trillion to the debt Under President Obama weve added 65 trillion to the debt,1.0,0,0,0,0,0,0,0,0,2,1,5,98,22,1,4.454545454545454,8,8,0,0.0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Says a US Supreme Court justice suggested that some US cases will be decided based on South African law,0.0,0,0,0,0,0,0,0,0,0,0,5,85,19,1,4.473684210526316,17,9,0,0.0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS,0.5,0,0,0,0,0,0,0,0,0,0,1,71,16,1,4.4375,14,8,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rep David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar company,-0.25,0,0,0,0,0,0,0,0,0,1,1,87,16,1,5.4375,14,4,0,-0.15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Says Ohio budget item later signed into law by Gov John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe,-0.25,0,0,0,0,0,0,0,0,0,0,2,112,23,1,4.869565217391305,23,5,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,2,1,0,0,2,2,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster ,0.0,1,0,0,0,0,0,0,0,0,0,1,116,23,1,5.043478260869565,22,1,0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,3,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
AfricanAmerican youth unemployment is 51 percent Hispanic youth unemployment is 36 percent,0.5,1,0,0,0,0,0,0,0,0,0,2,79,12,1,6.583333333333333,4,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Obamacare will provide insurance to all nonUS residents even if they are here illegally,-0.25,1,0,0,0,0,0,0,0,0,1,3,74,14,1,5.285714285714286,14,3,0,-0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
President Barack Obama took exactly none of his own deficit reduction commissions ideas Not one,0.0,0,0,0,0,0,0,0,0,0,0,2,81,15,1,5.4,15,4,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost Capt Humayun Khans life,-0.25,0,0,0,0,0,0,0,1,0,0,2,105,21,1,5.0,19,8,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillary Clinton in 2005 cosponsored legislation that would jail flag burners,1.0,1,0,0,0,0,0,0,0,0,0,1,66,11,1,6.0,11,2,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0.25,0,0,0,0,0,0,0,0,0,0,0,114,21,1,5.428571428571429,18,4,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maggie Hassan raised tuition making it the highest in America,0.25,0,0,0,0,0,0,0,0,0,1,1,52,10,1,5.2,10,3,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom,0.0,0,0,0,0,0,0,0,0,0,0,1,75,16,1,4.6875,13,6,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
We created 800000 new jobs we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history,1.0,0,0,0,0,0,0,0,0,0,2,0,130,31,1,4.193548387096774,25,4,0,0.12121212121212122,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
We have towns in West Texas that are out of water that are having to truck in water,0.25,0,0,0,0,0,0,0,0,0,1,1,66,18,1,3.6666666666666665,10,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
In Georgia women earn 82 cents for every dollar earned by men,0.5,0,0,0,0,0,0,0,0,0,1,1,50,12,1,4.166666666666667,12,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
